contact_id,product_id,contact_subtype_id,dz_artist_id,dz_name,mbz_artist_id
3690398,36822220,13,4842061,Naps,ce155ad5-afc8-4398-bf38-c99f02cd0814
860349,25481483,12,384236,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6
828329,41538664,13,310260,Stromae,ab2528d9-719f-4261-8098-21849222a0f2
572836,25326337,12,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
4814922,45912736,12,14621667,Koba LaD,52315221-8b06-4fb1-bfd3-16057aa4f9e1
841407,6153681,12,171998,Hamza,6a2244c9-3122-454e-b83d-b23e2968884e
1345896,19617791,13,13962203,Zola,3134d99c-a372-424a-9f65-d2dacfdccaba
5125715,15733784,13,12526056,Tayc,0c980a2b-ca09-4d04-ad80-e7c2ce9621fb
1180989,10931938,13,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
572836,60997167,13,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
555560,32622220,13,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
5250517,47450207,13,8706544,Dua Lipa,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f
60087,58618,13,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
555560,75772977,13,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
57633,9876186,12,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
1188385,14326377,11,416239,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
1188385,54997486,13,416239,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
572836,92989336,12,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
60087,6056907,13,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
572836,17596655,11,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
520084,44244606,11,564,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c
860349,9235726,13,384236,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6
60087,6090049,12,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
572836,7889343,12,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
60087,43536502,12,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
