product_id,user_id,rating,contact_id,contact_subtype_id,dz_artist_id,dz_name,mbz_artist_id
11446025,157617,8,572836,11,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
11446025,1127470,7,572836,11,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
5778040,34994,5,1180989,12,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
39382146,579139,6,555560,11,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
5720388,71679,6,572836,12,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
24632460,75432,8,5061175,13,13918545,Tiakola,2bd0c272-dd22-4395-8381-18fa2fa59f1e
5731019,81030,8,555560,11,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
5812734,69817,8,1180989,11,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
58618,882991,7,60087,13,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
5770189,248638,10,57633,12,13,Eminem,b95ce3ff-3d05-4e87-9e01-c97b66af13d4
58618,29776,3,60087,13,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
5777661,778859,6,1188385,12,416239,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
5731019,516983,6,555560,11,892,Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
11446025,2979,7,572836,11,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
11446025,2035873,10,572836,11,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
58618,1958348,10,60087,13,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
55312693,509960,7,860349,12,384236,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6
5778040,228226,10,1180989,12,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
5812734,23624,8,1180989,11,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
5777661,258176,7,1188385,12,416239,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
5789635,1875089,7,60087,13,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
5812734,52155,9,1180989,11,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
5777661,1195416,7,1188385,12,416239,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
24645285,1650526,9,4289648,13,4510044,Laylow,b04c952c-16c4-41ad-bd62-ace5047cdf6e
75076926,1462524,10,856411,13,4050205,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9
11446025,35243,7,572836,11,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
5777661,836834,7,1188385,12,416239,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
5777661,1901919,9,1188385,12,416239,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
1365726,100110,8,567274,12,3469,Sia,2f548675-008d-4332-876c-108b0c7ab9c5
5956148,2130465,7,3964938,11,74463,Timal,b0dfa8b9-cd40-43eb-9472-c02cb1db3297
58618,1986351,9,60087,13,198,Céline Dion,847e8a0c-cc20-4213-9e16-975515c2a926
5777661,255523,8,1188385,12,416239,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9
6050279,690185,10,572836,13,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
1366217,1106798,8,572836,13,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
5778040,558093,8,1180989,12,5111084,Lomepal,5386511f-b7bd-4058-9b5e-2c5dc426e1c9
38885410,95244,6,2265158,13,1191615,Jul,8e6c44df-06fc-4852-83d0-ef0efed6630a
15051463,447187,7,567274,12,3469,Sia,2f548675-008d-4332-876c-108b0c7ab9c5
11446025,1438571,9,572836,11,542,David Guetta,302bd7b9-d012-4360-897a-93b00c855680
